ambience_rating,chef,cuisine,dining_style,dress_code,food_rating,location,noise_level,num_reviews,price,recommendation_percentage,restaurant,service_rating,value_rating
4.3,Elman Gallardo,Steakhouse,Casual Elegant,Business Casual,4.4,Midtown East,Moderate,7168,$50 and over,83%,Smith & Wollensky - New York,4.4,3.9
4.7,Sylvain Delpique,American,Fine Dining,Jacket Required,4.4,Midtown West,Moderate,3709,$50 and over,85%,21 Club,4.6,4.1
4.5,,Brazilian Steakhouse,Casual Elegant,Casual Dress,4.6,Midtown West,Moderate,2229,$50 and over,91%,Fogo de Chao Brazilian Steakhouse - New York,4.4,4.2
4.1,,Steakhouse,Casual Dining,Casual Dress,4.5,Theater District / Times Square,Moderate,2111,$50 and over,81%,Wolfgang's Steak House - Times Square,4.1,3.8
4.4,Brian Ellis,American,Casual Dining,Casual Dress,4.6,East Village,Moderate,3131,$30 and under,94%,The Smith - East Village,4.6,4.3
4.6,Juan Arboleda,Steakhouse,Fine Dining,Business Casual,4.7,Midtown East,Moderate,3899,$50 and over,96%,The Capital Grille - NY – Chrysler Center,4.7,4.3
4.6,Arturo McLeod,American,Casual Elegant,Smart Casual,4.7,Midtown East,Moderate,624,$50 and over,88%,Benjamin Steakhouse Prime,4.7,4.4
4.4,Isaac Correa,Contemporary American,Casual Elegant,Business Casual,4.4,Midtown West,Moderate,421,$31 to $50,95%,L'adresse,4.4,4.0
4.4,You are the chef!!!,Japanese,Casual Elegant,Business Casual,4.6,Midtown East,Moderate,1990,$30 and under,93%,Gyu-Kaku - Midtown,4.5,4.5
4.6,Chad Brown ,Steakhouse,Fine Dining,Smart Casual,4.5,Theater District / Times Square,Moderate,1522,$50 and over,89%,Hunt & Fish Club NYC,4.4,4.0
4.6,Chris Christou,Greek,Casual Elegant,Business Casual,4.7,Gramercy / Flatiron,Moderate,213,$50 and over,95%,Kyma - Flatiron,4.5,4.1
4.1,Luis Gonzalez,French,Casual Dining,Casual Dress,4.1,Theater District / Times Square,Moderate,3683,$31 to $50,90%,Cafe Un Deux Trois,4.3,4.0
4.5,Amitzur Mor,Mediterranean,Casual Dining,Business Casual,4.6,Gramercy / Flatiron,Moderate,2569,$31 to $50,85%,Barbounia,4.3,4.1
4.7,James Henderson,Contemporary American,Casual Elegant,Smart Casual,4.6,Midtown West,Moderate,2456,$31 to $50,96%,BG - Bergdorf Goodman,4.7,4.2
4.5,Chef Alam,Mediterranean,Fine Dining,Smart Casual,4.6,Rockefeller Center Midtown,Moderate,1796,$50 and over,88%,Limani - NYC,4.4,4.1
4.3,Madison Belem,American,Casual Elegant,Business Casual,4.2,Midtown West,Moderate,1958,$31 to $50,81%,Haven Rooftop,4.2,3.8
4.4,Freda Sugarman,American,Casual Dining,Smart Casual,4.5,Gramercy / Flatiron,Moderate,1929,$30 and under,88%,Sarabeth's Park Avenue South,4.3,4.0
4.6,Costas Spiliadis,Seafood,Fine Dining,Business Casual,4.8,Midtown West,Moderate,5147,$50 and over,97%,Estiatorio Milos - NY,4.7,4.2
4.4,Arturo McLeod,American,Fine Dining,Smart Casual,4.7,Midtown East,Moderate,3054,$50 and over,87%,Benjamin Steakhouse,4.5,4.1
4.7,Eugenio Reyes,Seafood,Fine Dining,Business Casual,4.7,Rockefeller Center Midtown,Moderate,2377,$31 to $50,96%,Ocean Prime - New York,4.7,4.2
4.5,,Italian,Casual Dining,Business Casual,4.6,Midtown East,Moderate,609,$30 and under,93%,La Pecora Bianca - Midtown,4.4,4.2
4.4,Fermin Chavez,Seafood,Casual Elegant,Business Casual,4.7,Midtown East,Moderate,4106,$50 and over,95%,Avra Estiatorio on 48th,4.5,4.1
4.5,Dusmane Abdoulaye Tandia,Steakhouse,Fine Dining,Business Casual,4.7,Rockefeller Center Midtown,Moderate,2345,$50 and over,92%,Mastro's Steakhouse - New York City,4.7,4.2
4.5,Marc Meyer ,American,Casual Elegant,Casual Dress,4.6,Chelsea,Moderate,5294,$30 and under,92%,Cookshop,4.6,4.3
4.3,Greg Lombardi,American,Casual Dining,Casual Dress,4.4,Rockefeller Center Midtown,Moderate,2864,$31 to $50,87%,Del Frisco's Grille - NYC,4.5,4.0
4.5,Cruz Goler,Italian,Casual Dining,Casual Dress,4.5,Gramercy / Flatiron,Moderate,1207,$30 and under,91%,La Pecora Bianca - NoMad,4.3,4.2
4.5,Carlos Velez,Contemporary American,Casual Elegant,Business Casual,4.2,Theater District / Times Square,Quiet,11644,$50 and over,86%,The View Restaurant,4.5,3.9
4.5,Craig Koketsu,Steakhouse,Casual Elegant,Business Casual,4.5,Midtown West,Moderate,7261,$50 and over,83%,Quality Meats,4.4,4.0
4.4,Executive Chef Christopher Engel,American,Fine Dining,Business Casual,4.4,Theater District / Times Square,Quiet,3909,$31 to $50,84%,Aureole,4.5,4.0
4.4,Brian Ellis,American,Casual Dining,Casual Dress,4.6,Gramercy / Flatiron,Moderate,2201,$30 and under,95%,The Smith - Nomad,4.5,4.2
4.4,,Steakhouse,Casual Dining,Casual Dress,4.4,NoMad,Moderate,223,$31 to $50,87%,Quality Eats Nomad,4.2,4.1
4.5,,Italian,Casual Dining,Casual Dress,4.6,Theater District / Times Square,Moderate,14107,$30 and under,95%,Carmine's - 44th Street - NYC,4.5,4.4
4.4,,Italian,Casual Dining,Casual Dress,4.6,Theater District / Times Square,Moderate,10960,$30 and under,95%,Tony's Di Napoli - Midtown,4.7,4.4
4.7,Zene Flinn,American,Casual Elegant,Smart Casual,4.5,Gramercy / Flatiron,Moderate,2414,$31 to $50,89%,Park Avenue Spring,4.4,4.2
4.4, Philippe Massoud,Lebanese,Fine Dining,Business Casual,4.6,Gramercy / Flatiron,Moderate,5556,$31 to $50,90%,ilili,4.5,4.1
3.5,,Chinese,Casual Dining,Casual Dress,3.9,Garment District / Flower District,Moderate,6,$30 and under,83%,Evergreen on 38,3.8,3.8
4.1,,Irish,Casual Dining,Casual Dress,4.3,Midtown West,Moderate,27,$30 and under,100,O'Reilly's Pub,3.7,3.9
4.0,Chef Jake   Le Cordon Bleu 1995 France,Korean,Casual Dining,Casual Dress,3.4,Midtown West,Energetic,13,$30 and under,74%,Maru Karaoke Lounge,3.5,3.6
4.6,Brian Christman,Steakhouse,Fine Dining,Smart Casual,4.7,Midtown West,Moderate,8694,$50 and over,91%,Del Frisco's Double Eagle Steakhouse - New York City,4.7,4.2
4.1,,American,Casual Dining,Casual Dress,3.9,Midtown West,Moderate,133,$30 and under,72%,Hooters on 33rd,3.9,3.6
4.4,,Bar / Lounge / Bottle Service,Casual Elegant,Smart Casual,3.8,Midtown East,Moderate,13,$31 to $50,77%,Celon Bar and Lounge,4.2,3.8
4.1,,Kosher,Casual Dining,Business Casual,4.4,Murray Hill,Quiet,52,$50 and over,80%,Bedford on Park,4.5,3.6
4.4,Themis Papadopoulos,Greek,Casual Elegant,Smart Casual,4.4,Theater District / Times Square,Moderate,5709,$31 to $50,90%,Kellari Taverna,4.3,3.9
4.0,David Gallagher,Irish,Casual Dining,Casual Dress,4.3,Midtown West,Moderate,185,$30 and under,100,Feile,4.2,4.1
4.3,Brian Ellis,American,Casual Dining,Casual Dress,4.5,Midtown East,Moderate,4658,$30 and under,91%,The Smith - Midtown,4.4,4.2
4.4,,Spanish,Fine Dining,Business Casual,4.6,Murray Hill,Quiet,123,$50 and over,92%,Toledo Restaurant,4.6,3.9
3.6,,American,Casual Dining,Casual Dress,3.5,Midtown East,Moderate,140,$30 and under,67%,Habanero Blues,3.5,3.7
4.4,Angel Castillo,Australian,Casual Dining,Casual Dress,4.1,Midtown West,Moderate,128,$31 to $50,77%,The Australian,4.6,4.3
4.3,,Moroccan,Casual Elegant,Smart Casual,4.4,Midtown East,Moderate,270,$50 and over,91%,Arabesque,4.2,4.0
5.0,,American,Casual Dining,Business Casual,4.0,Garment District / Flower District,Quiet,,$30 and under,100,Foley's NY,5.0,5.0
4.1,,German,Casual Dining,Casual Dress,4.0,Midtown West,Moderate,390,$30 and under,78%,Reichenbach Hall,3.8,3.9
4.0,,American,Casual Dining,Business Casual,4.1,NoMad,Quiet,4,$31 to $50,83%,Restaurant at HGU,4.2,3.8
4.1,Eddie Janda ,Contemporary American,Casual Dining,Business Casual,4.0,Midtown West,Moderate,129,$30 and under,76%,Proper West,4.1,3.9
4.1,,Seafood,Casual Dining,Casual Dress,4.3,Hell's Kitchen,Moderate,267,$30 and under,86%,CajunSea,4.4,4.1
4.2,Claude Godard,French,Casual Dining,Smart Casual,4.2,Murray Hill,Quiet,772,$30 and under,100,Madison Bistro,4.3,4.0
4.0,,American,Casual Dining,Casual Dress,4.2,Midtown West,Moderate,99,$30 and under,88%,Rowland's Bar & Grill,4.4,3.9
3.9,,American,Casual Dining,Casual Dress,3.9,Midtown East,Moderate,256,$30 and under,62%,The Liberty NYC,4.0,3.8
4.6,,Contemporary Asian,Casual Dining,Casual Dress,4.5,NoMad,Moderate,16,$31 to $50,100,Hortus NYC,4.3,4.2
4.1,Charlie Palmer,Steakhouse,Casual Elegant,Business Casual,4.2,Midtown East,Quiet,598,$31 to $50,73%,Charlie Palmer Steak,4.3,3.7
4.4,,Korean,Casual Dining,Business Casual,4.3,NoMad,Moderate,37,$30 and under,89%,Soju Haus,4.3,4.2
4.1,,Japanese,Casual Dining,Casual Dress,3.9,Midtown West,Moderate,10,$30 and under,83%,Stanford East Sake Bar,4.0,3.7
4.0,,French,Casual Dining,Casual Dress,3.9,Midtown West,Moderate,798,$30 and under,88%,Petit Poulet,3.9,3.8
4.3,Chef Priscilla Yeh,American,Casual Elegant,Smart Casual,4.4,Midtown East,Quiet,674,$31 to $50,90%,STATE Grill and Bar,4.5,4.1
4.4,,Korean,Casual Elegant,Smart Casual,4.7,Midtown East,Moderate,74,$50 and over,100,Dons Bogam Black,4.6,4.1
